prod_codi,prod_nome,prod_url
72759BR-CP, BICA LAV ARTIFACTS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/72759BR-CP.png
14444BR-BN, PAPELEIRA VERTICAL PURIST BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14444BR-BN.png
14444BR-CP, PAPELEIRA VERTICAL PURIST CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14444BR-CP.png
14444BR-RGD, PAPELEIRA VERTICAL PURIST RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14444BR-RGD.png
73053BR-4ND-CP, MIST MON LAV BICA AL COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73053BR-4ND-CP.png
73053BR-4ND-RGD, MIST MON LAV BICA AL COMPOSED RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73053BR-4ND-RGD.png
73060BR-4-CP, MIST LAV BICA BX ALAV COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73060BR-4-CP.png
73060BR-4-BL,MIST LAV BICA BX ALAV COMPOSED BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73060BR-4-BL.png
73060BR-4-RGD, MIST LAV BICA BX ALAV COMPOSED RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73060BR-4-RGD.png
T73100BR-4-CP, ACAB MIST MON CHUV/BANH ALAV COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73100BR-4-CP.png
T73100BR-4-TT, ACAB MIST MON CHUV/BANH ALAV COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73100BR-4-TT.png
T73133BR-3-TT, ACAB VALV TERMOST COMPOSED CRUZ TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73133BR-3-TT.png
T73133BR-4-CP, ACAB VALV TERMOST COMPOSED ALAV CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73133BR-4-CP.png
T73133BR-4-BL, ACAB VALV TERMOST COMPOSED ALAV BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73133BR-4-BL.png
T73133BR-4-TT, ACAB VALV TERMOST COMPOSED ALAV TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73133BR-4-TT.png
T73135BR-3-TT, ACAB VALV CONTR VOL CRUZ COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73135BR-3-TT.png
T73140BR-3-TT, ACAB VALV DESV CHUV CRUZ COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T73140BR-3-TT.png
T97045BR-3-CP, ACAB MIST CHUV CRUZ COMPOSED CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T97045BR-3-CP.png
73146BR-TT, CABIDE COMPOSED TT,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/73146BR-TT.png
T37336BR-4-CP, ACAB MIST MON CHUV STRAYT CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T37336BR-4-CP.png
T14488BR-3-CP, ACAB VALV TERMOST PURIST CRUZ CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/T14488BR-3-CP.png
14381BR-CP, PORTA TOALHA TRIPLO PURIST 610MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14381BR-CP.png
14440BR-CP, PRATELEIRA PURIST CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14440BR-CP.png
14441BR-BN, PORTA TOALHA ARGOLA PURIST BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/14441BR-BN.png
